Grade,Difficulty,SAT,Letter,Intelligence
80.98983107369033,47.59272127032281,68.46715538389522,45.67327605574584,53.792405528135404
83.23625496346182,44.54690290569525,62.53959701297396,54.548355024587764,53.77168691407685
80.05016823892922,51.900617514729845,61.28475303553998,53.60067487068184,47.51463100485894
79.70288814818801,48.73633268340921,53.709695983384634,48.66546515138112,47.353486629524674
76.43093904134788,55.99029842709205,47.01441720656365,42.358297172489486,42.41747590490128
83.82313400253204,44.718256338162405,69.96129690724517,49.768379823665676,60.017118732638096
77.24550872623462,54.18928844423637,62.694396291931724,45.01723838802333,51.619801303118514
81.89697016450422,48.09710535301717,66.13883684416096,49.883466333079134,53.202662059368535
79.48124547412334,54.41453005864112,60.071878106474834,48.58636888183852,53.15026086227751
82.8371101139092,52.03730486679784,73.2039296235291,56.09077173951342,59.88721900722999
83.7182608815984,46.219363497889134,63.27992515116467,57.25253212286196,51.78584447371998
81.23917922117762,45.667669022178195,62.01489755162592,48.80433053311693,47.54746467183596
81.76473958555198,45.94505841138329,60.33350903323444,46.96548782581363,45.98756930492026
83.52557886922119,47.47475609000344,64.33362860766107,55.14742279916939,56.221467944765216
79.61922050187619,41.87416872791767,56.25495155505036,47.11859478110408,47.662959616846976
82.22439049932292,41.85958389259555,61.32620094339131,53.65185403682877,47.6647666245491
79.84624123513238,50.771779371019065,54.766551982011826,48.95014377807309,49.46784921478596
79.62403892711303,51.89813193971758,54.85645215193409,50.500631311108194,50.744558107630425
81.98838042103282,50.20397113753537,63.635497386337725,50.80606699389321,51.72443485709417
81.6297098513872,46.26801336200544,60.879454778487926,53.43351266566999,47.51733670245784
80.34909805171733,51.3422524711034,58.256930863778244,47.4295622920847,46.21346424209585
81.14816781812732,49.73662317063278,53.29091558858048,48.16548800289351,44.651798549939656
79.70602066019453,49.72761737023934,63.5853230991905,47.44776735128248,52.1426769904858
73.45152895647078,57.38860183455484,54.274414136975054,38.323092283279124,45.439646869923564
