Grade,Difficulty,SAT,Letter,Intelligence
78.28648012733987,51.14850216238971,67.1091784881244,52.162491316883184,55.15525986865866
78.7900137280137,45.46848162527788,53.40122900566817,45.193274687049374,47.242005242684684
82.25418654019943,57.38797122085343,62.79225065791095,52.48212659372561,56.728250568224695
80.97055468753673,44.392665203313925,61.37992044158134,56.190559366310154,49.53260603238834
82.77439885736884,50.11228161178895,60.071956368130365,53.520075549140934,47.118561305816954
84.58231491007663,42.21569342024405,60.71853291437185,57.695659315308696,50.70638990043267
79.5074788244412,50.95258188570233,65.83510462061234,47.2586323756031,55.63128954993164
81.85333111356832,53.74557420907756,53.73267617532184,49.949443108875734,45.116892166948595
83.80978476785211,45.46919087210906,66.8868383411105,63.847257789711726,54.36219427333725
79.94417042561865,52.91063686295573,64.32202008008227,43.298028492975675,53.69284189126375
82.14470019838882,45.022500124739636,60.38812326619868,48.39622221115967,50.5603784561091
73.2326611281587,41.474705901499135,55.29110162658575,34.26478453572729,46.24695722089462
81.99302929859586,44.16350142169289,59.31493136783077,54.576076406074996,51.288900518492696
81.42142963573211,40.651094030125456,60.50859939650257,53.61761204845978,50.989255769665505
75.89614051858807,47.88095564489493,58.84694306543388,43.46349808860246,51.22197194002246
84.14605945684285,52.42686760155951,61.39994954179534,58.363305579110595,46.5271614791796
76.03136633698439,44.00462683452618,48.87842235830737,38.70637780616128,40.24076528583913
81.8994202862417,43.13190870558389,52.14942983573239,56.121768892962464,46.246258019446444
80.89090637377716,50.259643959445064,53.09514315079473,48.91309922130485,45.05371323417452
78.95557114213251,42.56902371504509,56.39861001902576,45.131431572030365,50.40700685027523
80.89108004603689,51.55684436686033,57.5598679371351,60.612611791499546,47.97992043783894
84.70593245561761,49.03525548474917,62.2890653683951,55.514936503494596,55.99250585353507
81.27847061703876,54.37172863619977,59.46991333998216,55.26943336401723,51.58441561927666
74.73879900817074,50.626947403563896,58.311712433545175,36.66794217486465,49.23131280502034
82.24060169506086,43.306092788828025,63.750986563192484,53.12169770194878,51.99467247375712
81.07822398560826,52.354732726134436,55.91477655416432,52.02405287506525,48.08770888791791
78.10545073417987,48.90902689158592,60.229346070815595,47.25218554234712,48.799979721200806
80.19469280123009,45.95678052181973,65.95603320637542,48.56475582718714,52.60623395353119
72.8090369940059,54.35063954003007,50.05213740210069,33.72439408965304,42.962829706148575
79.82113851375203,47.84580110149935,56.04298482354308,48.55488138464925,54.743571404449916
76.1173817676218,45.4357617458427,61.30418562269412,45.23820516696005,47.71861947138941
79.56136589688256,45.05806281090142,55.240573375754046,46.56477599140709,48.88920557733286
83.74865666942344,52.00832792208755,55.57855164447848,60.12251139075842,48.46258050367642
82.53902155860881,50.63146965488711,63.39082065869662,56.73326993437329,52.60272080857472
77.54816952591113,48.34952697065218,58.06697554159432,43.67535629464252,49.46369373267043
80.84329186847322,58.854519941033494,61.766996228859526,49.76168472491135,52.0954681649531
85.54126637256219,45.9518075726549,64.14677675677135,64.17357208862721,58.00941860491735
79.53517312239755,54.63709415493871,63.15676928861983,51.30317977666426,51.60934712742782
81.07144692828625,53.27905170517247,55.77578591056134,50.89274639603479,44.14190856948198
77.52062874708328,49.56745010217998,66.08830361112152,39.96070528016177,48.60962692866287
79.14490586505251,52.28917123363052,58.104755318880215,49.41130882338588,45.7879179399966
79.10239799544897,52.97277013225887,60.08846005062593,47.18482120320809,52.06491118894952
76.86485798488097,53.83275125296125,59.86009729955893,46.292152862117966,47.19700778415449
81.82789087567242,48.11456899607064,53.86859803160313,50.11254817484979,50.01135692536566
78.24893424103318,51.3040274962707,48.78529986360417,45.039999613619095,48.00159588785831
76.97058267780308,44.467217168971345,63.84111372574937,39.92168127670169,52.80208185758907
82.30932727762767,48.976178235137844,57.15679921634973,56.04073067747876,49.990678337827845
77.22021119242463,51.91079772246886,55.08078950099137,45.58308146288508,46.07738493369823
83.9086477354399,39.16709688804343,54.40968069301061,61.12914895958913,46.15632132403021
77.08144255056882,54.694312826675336,69.23151369617382,42.63348033740842,54.285364297195855
77.64829966008696,56.038731426473795,57.58272669217531,44.47862373879983,52.15405162402031
77.3618078063026,52.59489363342613,50.491046599051806,43.44844393023581,38.643759686281044
79.82077762065948,49.48394496979784,61.87693120115792,46.869356701322396,50.95569213198388
82.1889064746475,51.328027245880506,62.111584784412294,54.12013943950238,51.56823130647572
