AmountDelinquent,GoodCandidate,CreditGrade,Loan,AmountRequested,OpenCreditLines,MaxRate,FundingOptions,Endorsement,DebtToIncome
51.4130545131763,120.55738454292693,63.97853446535601,208.82337872463557,56.39263138621473,9.12490502237174,46.54268657704284,46.23157506991872,10.877896956896251,9.03516174077148
54.5925147533774,120.18943628979302,61.046394502704175,212.34756903626757,51.45080921430349,9.124559459324905,53.92969206647201,45.28047134193091,9.790444353410416,10.090205117305443
46.75192671374765,126.74049578173303,70.50518448218546,226.83628887171773,51.15794770844652,8.754363900783384,53.3126855423926,47.04698000013237,10.667870397105306,10.145536819585343
50.92481281908044,122.76902463114799,66.53264978576921,212.6451906913131,54.35714344691512,9.598469107839865,46.28275745116845,47.1570949267314,9.241342037124031,8.237205810328957
57.60928979266473,121.3249078964292,62.81201023280651,211.52312422685256,46.0435319898018,9.567364061704675,54.67830839068548,52.4874690731914,9.910928846845442,10.43830372090932
56.15181390860013,121.15522457902954,59.50641646902674,208.60463240906407,44.56167899257553,10.344168357239392,57.32195846564829,41.45972401114089,11.68135389267515,10.880486391983254
47.04661591086899,126.55277726195824,70.38697082805051,221.63846533117714,50.34090537211006,10.455745999527197,52.719490250534776,54.355408404488315,9.719662172413326,10.01602583161691
51.368770187996134,118.97765960077335,63.966891618170116,203.89248108214008,49.96589283628339,10.367993963866967,54.40001432620941,42.751615331692236,9.812583037091445,9.688783413698266
53.34031714644698,125.6390338685162,63.000806529053776,213.39876605758892,48.70026227078144,9.934882344017332,51.76436158488312,48.26578910842858,11.164258952041676,9.330563817431056
41.514994301075525,124.57991881382095,67.95875849472544,218.9934502803243,54.15060713236997,12.137099444969387,53.41266639109182,49.93250792506147,8.654639853595185,11.126009869592107
45.61184171597377,121.22911651179643,70.12978550197833,213.65898352478507,51.665516053772514,8.934156437195053,59.68114324186205,55.98562327245937,8.92803144057964,8.761949703815885
50.71089802858315,129.89106188382476,67.15280481985815,226.68821353658555,46.84263197707722,8.96502440026164,56.244764259526534,51.02222879238418,10.259826411625857,10.744712692023073
47.244143092857094,126.45015172477395,67.99171681667741,217.593480021165,50.121357405735026,9.704608047697398,52.14975007898599,54.224187754101905,9.450352153923951,10.061187638681957
52.745461203802854,126.37708789906428,66.08863151870945,223.13108889263958,53.79348703428817,9.080983707577822,54.483099241842275,54.818889696813564,8.69484155847567,10.871568765210538
51.12680436134228,122.70228532550314,67.38482916207154,210.00424648655616,49.99985778854301,9.619315059152877,51.74037274837471,45.62696910017929,10.12564307376937,8.52341048575769
49.120877445757124,121.32907522259963,63.36940034628967,212.50751549834249,48.11591560999877,9.704642532934006,58.65640436232462,48.036707846827845,10.227249296953248,10.09061208745555
48.569507196268425,120.58868699074289,67.77826148104127,206.35796115741715,48.55821381819404,9.616794479512725,52.946878435277846,48.68437860723722,9.954190775314558,9.37504331158735
42.05374589783551,128.64958222142954,72.4376822591691,219.39574923639478,54.99313283735468,10.21348955861479,45.501437940127055,53.14315213195034,12.096161954611656,10.214623353549236
52.89096515480137,117.52809369766078,64.3460237056276,198.46939498743163,47.211978788424865,8.808301015682169,50.36507954971006,53.76144646683095,9.337307859780308,11.520628192049447
49.45717019997561,123.81070493674358,65.1491997986914,214.0385979156931,47.325571190347674,10.720262441615418,52.268004594249774,53.39621722210636,11.294841448238328,9.544163889695827
47.093946507744135,124.43181872432604,69.14144555437655,210.37376191415805,50.53356481929684,6.770488667521665,50.64835624525914,60.30793304598109,8.684787790211944,10.072918266316176
51.4209695627464,125.9639278325243,69.66777043289574,218.6028044152784,48.51899604537354,10.372754373825815,54.95237279695532,45.26632089533167,10.04995600863022,10.848913007696725
47.28515490037211,132.63759793489996,74.54101158643915,225.53422861438102,51.94922239186714,10.361258495373141,48.51091204672208,50.12756768395452,11.086367885816848,9.476976492695513
41.02394086497469,124.21557798354661,68.83534737688339,207.71992988736523,46.47868622860385,10.692602531346946,43.81692192613397,46.60174703247935,8.904597842390897,10.112580655693884
44.948373815453806,122.17885513732082,68.20441066907755,215.11686547266657,46.17075365092849,11.181906462059136,49.78663140296031,42.643015657156475,8.62186315838094,9.594604565193245
